"","CT_ID_10","year","parcelpct","privateconflict","socdis","udensity","violence","ISD_nbhd","rperunit","udensity_lag1","udensity_lag2","parcelpct_lag1","parcelpct_lag2","rperunit_lag1","rperunit_lag2","medincome","udensity_lead1","udensity_lead2","parcelpct_lead1","parcelpct_lead2","rperunit_lead1","rperunit_lead2"
"25025000504-2015","25025000504","2015",0.0827067669172932,4.27062261182288,2.92200494493145,0.00925212027756361,8.31647561249719,1,0.107170393215112,0.00187476565429321,0.00285612281328097,0.0150375939849624,0.0300751879699248,0.0277465316835396,0.0160656908247055,40694,0.00825206301575394,0.0114285714285714,0.0789473684210526,0.109022556390977,0.0892723180795199,0.132952380952381
"25025000504-2016","25025000504","2016",0.0789473684210526,7.64216677905147,4.04585300067431,0.00825206301575394,12.8118678354686,1,0.0892723180795199,0.00925212027756361,0.00187476565429321,0.0827067669172932,0.0150375939849624,0.107170393215112,0.0277465316835396,48676,0.0114285714285714,NA,0.109022556390977,NA,0.132952380952381,NA
"25025000504-2017","25025000504","2017",0.109022556390977,6.96785794560575,3.14677455608002,0.0114285714285714,7.64216677905147,1,0.132952380952381,0.00825206301575394,0.00925212027756361,0.0789473684210526,0.0827067669172932,0.0892723180795199,0.107170393215112,44065,NA,NA,NA,NA,NA,NA
"25025000601-2011","25025000601","2011",0,14.3837855508336,11.1147433801896,0,23.5371036286368,1,0,NA,NA,NA,NA,NA,NA,54635,0,0.00607697501688049,0,0.0100502512562814,0,0
"25025000601-2012","25025000601","2012",0,7.23497955331865,11.3243158225857,0,22.6486316451714,1,0,0,NA,0,NA,0,NA,56477,0.00607697501688049,0.00556715379262352,0.0100502512562814,0.0134003350083752,0,0.00626304801670146
"25025000601-2013","25025000601","2013",0.0100502512562814,14.8755312689739,19.7328476017001,0.00607697501688049,36.1262902246509,1,0,0,0,0,0,0,0,52125,0.00556715379262352,0.0047361299052774,0.0134003350083752,0.0117252931323283,0.00626304801670146,0.054127198917456
"25025000601-2014","25025000601","2014",0.0134003350083752,13.060760931289,7.95002839295855,0.00556715379262352,27.2572402044293,1,0.00626304801670146,0.00607697501688049,0,0.0100502512562814,0,0,0,53796,0.0047361299052774,0.00738255033557047,0.0117252931323283,0.016750418760469,0.054127198917456,0.0503355704697987
"25025000601-2015","25025000601","2015",0.0117252931323283,10.2631578947368,6.57894736842105,0.0047361299052774,16.5789473684211,1,0.054127198917456,0.00556715379262352,0.00607697501688049,0.0134003350083752,0.0100502512562814,0.00626304801670146,0,54352,0.00738255033557047,0.0135961930659415,0.016750418760469,0.0318257956448911,0.0503355704697987,0.1162474507138
"25025000601-2016","25025000601","2016",0.016750418760469,8.68421052631579,5.78947368421053,0.00738255033557047,16.3157894736842,1,0.0503355704697987,0.0047361299052774,0.00556715379262352,0.0117252931323283,0.0134003350083752,0.054127198917456,0.00626304801670146,58750,0.0135961930659415,NA,0.0318257956448911,NA,0.1162474507138,NA
"25025000601-2017","25025000601","2017",0.0318257956448911,10.7894736842105,5.26315789473684,0.0135961930659415,15.5263157894737,1,0.1162474507138,0.00738255033557047,0.0047361299052774,0.016750418760469,0.0117252931323283,0.0503355704697987,0.054127198917456,64625,NA,NA,NA,NA,NA,NA
"25025000602-2011","25025000602","2011",0,12.8205128205128,8.01282051282051,0,53.9529914529915,1,0,NA,NA,NA,NA,NA,NA,26648,0.00144857556735876,0.0110386352232815,0.0118110236220472,0.0551181102362205,0.0106228874939643,0.00903161063723031
"25025000602-2012","25025000602","2012",0.0118110236220472,13.631090487239,6.67053364269142,0.00144857556735876,51.0440835266821,1,0.0106228874939643,0,NA,0,NA,0,NA,25574,0.0110386352232815,0.0032171581769437,0.0551181102362205,0.0236220472440945,0.00903161063723031,0.0595174262734584
